score_id,prediction_id,event_id,theory_key,theory_name,horizon,predicted_direction,realized_direction,is_flat,is_win,is_foreign_event,scored_at
1c953f37-bebc-46,acea7379-4d78-46,a99949bc3ad44dbf,upper_echelons,Upper Echelons Theory,10,neutral,negative,False,False,False,2026-06-21T17:25:11.618235Z
97b622a9-aa08-4c,625bad63-756d-4a,a99949bc3ad44dbf,agency_ceo,Agency Theory (CEO Turnover),10,neutral,negative,False,False,False,2026-06-21T17:25:11.618256Z
4fd9931e-9937-46,b73a23e7-fd83-47,a99949bc3ad44dbf,disruption_ceo,Disruption / Instability View (CEO),10,negative,negative,False,True,False,2026-06-21T17:25:11.618268Z
df225b96-1eb5-42,b3210b5c-d4ca-4e,c3b614936426d113,upper_echelons,Upper Echelons Theory,3,neutral,negative,False,False,False,2026-06-21T17:25:12.581050Z
118d2247-9aa1-45,2a3dda45-a970-4b,c3b614936426d113,agency_ceo,Agency Theory (CEO Turnover),3,positive,negative,False,False,False,2026-06-21T17:25:12.581071Z
ab48a0af-4540-46,99cba5b0-ff36-49,c3b614936426d113,disruption_ceo,Disruption / Instability View (CEO),3,negative,negative,False,True,False,2026-06-21T17:25:12.581084Z
7aba9177-49da-47,b3210b5c-d4ca-4e,c3b614936426d113,upper_echelons,Upper Echelons Theory,10,neutral,negative,False,False,False,2026-06-21T17:25:13.401111Z
5d34ae79-c82a-43,2a3dda45-a970-4b,c3b614936426d113,agency_ceo,Agency Theory (CEO Turnover),10,positive,negative,False,False,False,2026-06-21T17:25:13.401126Z
1d4f0e77-530f-4e,99cba5b0-ff36-49,c3b614936426d113,disruption_ceo,Disruption / Instability View (CEO),10,negative,negative,False,True,False,2026-06-21T17:25:13.401134Z
ae77bd5b-4f7f-47,2c8d650a-6c3c-4c,23c37cb3989b5d11,upper_echelons,Upper Echelons Theory,3,neutral,positive,False,False,False,2026-06-21T17:25:13.888807Z
270bb76a-3984-4f,610b8128-ab2e-4c,23c37cb3989b5d11,agency_ceo,Agency Theory (CEO Turnover),3,positive,positive,False,True,False,2026-06-21T17:25:13.888825Z
9571bcb8-b3f7-4e,2c56cbf6-f669-4b,23c37cb3989b5d11,disruption_ceo,Disruption / Instability View (CEO),3,negative,positive,False,False,False,2026-06-21T17:25:13.888838Z
ddddaff1-4dec-43,2c8d650a-6c3c-4c,23c37cb3989b5d11,upper_echelons,Upper Echelons Theory,10,neutral,positive,False,False,False,2026-06-21T17:25:14.846369Z
1f5c3b96-6a63-42,610b8128-ab2e-4c,23c37cb3989b5d11,agency_ceo,Agency Theory (CEO Turnover),10,positive,positive,False,True,False,2026-06-21T17:25:14.846391Z
6e857690-37c7-44,2c56cbf6-f669-4b,23c37cb3989b5d11,disruption_ceo,Disruption / Instability View (CEO),10,negative,positive,False,False,False,2026-06-21T17:25:14.846405Z
8ccb2314-cd65-41,a01b340d-af28-4f,54b60aa0c49c0950,upper_echelons,Upper Echelons Theory,3,neutral,negative,False,False,False,2026-06-21T17:25:16.017390Z
5a081cf1-8c73-40,4880673b-38a9-47,54b60aa0c49c0950,agency_ceo,Agency Theory (CEO Turnover),3,positive,negative,False,False,False,2026-06-21T17:25:16.017418Z
86a3382b-5750-49,30c57219-e44f-43,54b60aa0c49c0950,disruption_ceo,Disruption / Instability View (CEO),3,negative,negative,False,True,False,2026-06-21T17:25:16.017436Z
3df4830e-64db-47,a01b340d-af28-4f,54b60aa0c49c0950,upper_echelons,Upper Echelons Theory,10,neutral,negative,False,False,False,2026-06-21T17:25:16.732804Z
32956693-2346-4b,4880673b-38a9-47,54b60aa0c49c0950,agency_ceo,Agency Theory (CEO Turnover),10,positive,negative,False,False,False,2026-06-21T17:25:16.732829Z
b413bd39-8ee4-4f,30c57219-e44f-43,54b60aa0c49c0950,disruption_ceo,Disruption / Instability View (CEO),10,negative,negative,False,True,False,2026-06-21T17:25:16.732842Z
3d1f113a-a3a9-4c,e40dde6d-93db-43,c75aa0abde5f4abf,upper_echelons,Upper Echelons Theory,3,positive,neutral,True,False,False,2026-06-21T17:25:17.046701Z
1c9645fb-89e5-42,13083e46-32fb-45,c75aa0abde5f4abf,agency_ceo,Agency Theory (CEO Turnover),3,neutral,neutral,True,False,False,2026-06-21T17:25:17.046720Z
2fd26c9a-5173-46,6c6b738d-6b2a-42,c75aa0abde5f4abf,disruption_ceo,Disruption / Instability View (CEO),3,negative,neutral,True,False,False,2026-06-21T17:25:17.046731Z
d72d8425-5104-41,e40dde6d-93db-43,c75aa0abde5f4abf,upper_echelons,Upper Echelons Theory,10,positive,positive,False,True,False,2026-06-21T17:25:18.033254Z
66b3fbfd-aaf0-45,13083e46-32fb-45,c75aa0abde5f4abf,agency_ceo,Agency Theory (CEO Turnover),10,neutral,positive,False,False,False,2026-06-21T17:25:18.033285Z
abe2adfd-4556-45,6c6b738d-6b2a-42,c75aa0abde5f4abf,disruption_ceo,Disruption / Instability View (CEO),10,negative,positive,False,False,False,2026-06-21T17:25:18.033303Z
e36b8bfb-7d35-44,4d70f92f-4688-4c,7bd07de0a3c1897b,upper_echelons,Upper Echelons Theory,3,neutral,neutral,True,False,False,2026-06-21T17:25:19.033158Z
ce061282-8b0f-44,a872c9de-e7a3-46,7bd07de0a3c1897b,agency_ceo,Agency Theory (CEO Turnover),3,positive,neutral,True,False,False,2026-06-21T17:25:19.033180Z
77020e4f-4ebb-49,14052cf6-9fb9-48,7bd07de0a3c1897b,disruption_ceo,Disruption / Instability View (CEO),3,negative,neutral,True,False,False,2026-06-21T17:25:19.033193Z
c44a683b-f12d-49,4d70f92f-4688-4c,7bd07de0a3c1897b,upper_echelons,Upper Echelons Theory,10,neutral,negative,False,False,False,2026-06-21T17:25:20.253847Z
f53b1644-dc0c-4e,a872c9de-e7a3-46,7bd07de0a3c1897b,agency_ceo,Agency Theory (CEO Turnover),10,positive,negative,False,False,False,2026-06-21T17:25:20.253874Z
dfaf2a7e-35e5-40,14052cf6-9fb9-48,7bd07de0a3c1897b,disruption_ceo,Disruption / Instability View (CEO),10,negative,negative,False,True,False,2026-06-21T17:25:20.253896Z
3dfc497d-b551-46,a89b6a7b-fb6d-44,e0b32f309f6294f5,upper_echelons,Upper Echelons Theory,3,neutral,positive,False,False,False,2026-06-21T17:25:20.543934Z
d771b797-c37a-4c,920e0962-8dec-40,e0b32f309f6294f5,agency_ceo,Agency Theory (CEO Turnover),3,neutral,positive,False,False,False,2026-06-21T17:25:20.543954Z
befd5bb1-3a04-48,819487fb-2877-43,e0b32f309f6294f5,disruption_ceo,Disruption / Instability View (CEO),3,negative,positive,False,False,False,2026-06-21T17:25:20.543967Z
4ea491b3-8012-44,a89b6a7b-fb6d-44,e0b32f309f6294f5,upper_echelons,Upper Echelons Theory,10,neutral,positive,False,False,False,2026-06-21T17:25:21.527085Z
760bdd99-a457-49,920e0962-8dec-40,e0b32f309f6294f5,agency_ceo,Agency Theory (CEO Turnover),10,neutral,positive,False,False,False,2026-06-21T17:25:21.527110Z
aadd0042-eb2f-4c,819487fb-2877-43,e0b32f309f6294f5,disruption_ceo,Disruption / Instability View (CEO),10,negative,positive,False,False,False,2026-06-21T17:25:21.527125Z
1f093a97-6119-45,46f98602-eb6a-4f,af8630f690d63542,upper_echelons,Upper Echelons Theory,3,neutral,negative,False,False,False,2026-06-21T17:25:22.062313Z
46e3436a-cbe0-4f,4c997a4f-1d4a-42,af8630f690d63542,agency_ceo,Agency Theory (CEO Turnover),3,positive,negative,False,False,False,2026-06-21T17:25:22.062329Z
d896ae33-e179-44,9f6ed490-6ac8-4c,af8630f690d63542,disruption_ceo,Disruption / Instability View (CEO),3,negative,negative,False,True,False,2026-06-21T17:25:22.062339Z
80260e53-6028-4b,46f98602-eb6a-4f,af8630f690d63542,upper_echelons,Upper Echelons Theory,10,neutral,negative,False,False,False,2026-06-21T17:25:22.973411Z
5ad81a63-8d17-49,4c997a4f-1d4a-42,af8630f690d63542,agency_ceo,Agency Theory (CEO Turnover),10,positive,negative,False,False,False,2026-06-21T17:25:22.973434Z
ad2c9a9d-9357-48,9f6ed490-6ac8-4c,af8630f690d63542,disruption_ceo,Disruption / Instability View (CEO),10,negative,negative,False,True,False,2026-06-21T17:25:22.973447Z
2225e2ee-e2b4-4b,07b74050-3370-40,6bfa3698aac22abd,upper_echelons,Upper Echelons Theory,3,neutral,neutral,True,False,False,2026-06-21T17:25:24.016567Z
59b9deb0-87f4-41,80ca107c-6ee4-45,6bfa3698aac22abd,agency_ceo,Agency Theory (CEO Turnover),3,positive,neutral,True,False,False,2026-06-21T17:25:24.016591Z
8b6aa266-1f01-4e,0ed0dfed-bc98-4e,6bfa3698aac22abd,disruption_ceo,Disruption / Instability View (CEO),3,negative,neutral,True,False,False,2026-06-21T17:25:24.016608Z
089fe17f-0514-4f,07b74050-3370-40,6bfa3698aac22abd,upper_echelons,Upper Echelons Theory,10,neutral,neutral,True,False,False,2026-06-21T17:25:24.794806Z
ffc85740-d335-4b,80ca107c-6ee4-45,6bfa3698aac22abd,agency_ceo,Agency Theory (CEO Turnover),10,positive,neutral,True,False,False,2026-06-21T17:25:24.794828Z
2bef3877-e929-46,0ed0dfed-bc98-4e,6bfa3698aac22abd,disruption_ceo,Disruption / Instability View (CEO),10,negative,neutral,True,False,False,2026-06-21T17:25:24.794848Z
dc525928-06f6-4b,324e2313-b3ae-47,56de9da2e8644793,upper_echelons,Upper Echelons Theory,3,positive,positive,False,True,False,2026-06-21T17:25:25.999725Z
fbe2e85c-16e5-47,f0a26a8d-9ba3-4d,56de9da2e8644793,agency_ceo,Agency Theory (CEO Turnover),3,neutral,positive,False,False,False,2026-06-21T17:25:25.999748Z
aae8f477-82f9-42,9f5f9676-378c-4c,56de9da2e8644793,disruption_ceo,Disruption / Instability View (CEO),3,negative,positive,False,False,False,2026-06-21T17:25:25.999762Z
1cd977f0-fedb-4b,324e2313-b3ae-47,56de9da2e8644793,upper_echelons,Upper Echelons Theory,10,positive,positive,False,True,False,2026-06-21T17:25:27.505825Z
9b438b8e-42ab-41,f0a26a8d-9ba3-4d,56de9da2e8644793,agency_ceo,Agency Theory (CEO Turnover),10,neutral,positive,False,False,False,2026-06-21T17:25:27.505849Z
0bcf5f75-f6fb-46,9f5f9676-378c-4c,56de9da2e8644793,disruption_ceo,Disruption / Instability View (CEO),10,negative,positive,False,False,False,2026-06-21T17:25:27.505866Z
d19b91ce-b0d4-40,225f8eb8-50b7-42,cf1795ec5a85b1ec,upper_echelons,Upper Echelons Theory,3,neutral,positive,False,False,False,2026-06-21T17:25:28.738688Z
616e8188-fe1c-43,225f8eb8-50b7-42,cf1795ec5a85b1ec,upper_echelons,Upper Echelons Theory,10,neutral,positive,False,False,False,2026-06-21T17:25:29.494123Z
